Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Indian Biere House,4.5,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",1250.0,https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info,7.3 km,-
Ouzo By Fire,4.2,"Goan, Mangalorean, Beverages",500.0,https://www.zomato.com/bangalore/ouzo-by-fire-indiranagar-bangalore/info,5.1 km,10% OFF
One8 Commune,4.0,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",1500.0,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore/info,731 m,-
SkyDeck By Sherlock's,4.2,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",900.0,https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,1.5 km,15% OFF
The Bier Library,4.5,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",900.0,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,5 km,-
Homiga,4.5,"Korean, Asian",750.0,https://www.zomato.com/bangalore/homiga-brigade-road-bangalore/info,1.4 km,-
Mykos Craft Kitchen & Bar,4.3,"Continental, Greek, Asian, Mediterranean, North Indian",800.0,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info,8.3 km,-
Daddy,4.3,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",850.0,https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info,4.9 km,-
Phurr,4.4,"North Indian, Continental, Beverages",1000.0,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info,4.5 km,-
Jook Taproom,4.4,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",800.0,https://www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/info,5.1 km,10% OFF
Uru Brewpark,4.3,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages",1100.0,https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info,7.4 km,10% OFF
Bhangra Bistro,4.5,"North Indian, Mughlai, Desserts",500.0,https://www.zomato.com/bangalore/bhangra-bistro-indiranagar-bangalore/info,5.1 km,-
Yellow Door - The Neighbourhood Kitchen,4.2,"North Indian, Asian, Italian, Fast Food",550.0,https://www.zomato.com/bangalore/yellow-door-the-neighbourhood-kitchen-1-koramangala-5th-block-bangalore/info,4.8 km,20% OFF
Toca Koramangala,4.1,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",700.0,https://www.zomato.com/bangalore/toca-koramangala-koramangala-5th-block-bangalore/info,4.7 km,10% OFF
Brahma Brews,4.5,"Asian, North Indian, South Indian",1250.0,https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info,8.7 km,-
The Terrace at Gilly's Redefined,4.4,"Continental, North Indian, Italian, Bar Food, Desserts, Chinese, Beverages",1000.0,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block/info,5.3 km,15% OFF
Pangeo,4.5,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",1750.0,https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info,1.3 km,-
Citrus - The Leela Palace,4.0,"North Indian, Continental, Asian, Desserts",2350.0,https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info,6.1 km,10% OFF
Now Boarding Café,3.9,"Chinese, Fast Food, Sandwich, Pasta, Pizza, Desserts, Shake, Beverages",500.0,https://www.zomato.com/bangalore/now-boarding-caf%C3%A9-3-jayanagar-bangalore/info,4.3 km,10% OFF
KLING,4.3,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",750.0,https://www.zomato.com/bangalore/kling-church-street-bangalore/info,1.1 km,-
Pasta Street,4.6,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/pasta-street-jp-nagar-bangalore/info,7.2 km,10% OFF
Moglu - The Edgy Veggie Restaurant,4.0,"Bakery, Modern Indian, Desserts, Beverages, American, Coffee, Sandwich, Pasta",900.0,https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info,914 m,-
Candles  Brewhouse,4.3,"Italian, Continental, American, Pizza, North Indian",1250.0,https://www.zomato.com/bangalore/candles-brewhouse-hebbal-bangalore/info,9.3 km,10% OFF
