Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Roots,4.4,"North Indian, South Indian, Chinese, Mughlai, Mangalorean, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/roots-koramangala-1st-block/info,6.4 km,10% OFF
Levels Pub & Kitchen,4.5,"Asian, South Indian, North Indian",850.0,https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info,7.3 km,10% OFF
White Garden,4.3,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",800.0,https://www.zomato.com/bangalore/white-garden-kalyan-nagar-bangalore/info,7.8 km,10% OFF
Nasi And Mee,4.5,"Asian, Sushi, Thai",800.0,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/info,5.6 km,-
The 13th Floor,4.3,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",1250.0,https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info,1.3 km,-
The Reservoire,4.4,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info,5.2 km,10% OFF
Over Coffee Cafe & Wine Bar,4.7,"European, Italian, Continental, Cafe, Coffee",600.0,https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,672 m,-
The Groot,4.0,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",600.0,https://www.zomato.com/bangalore/the-groot-jakkur-bangalore/info,13.5 km,10% OFF
Escape by Brewklyn,New,"Continental, Asian, North Indian, Pizza, Burger",1250.0,https://www.zomato.com/bangalore/escape-by-brewklyn-nagawara-bangalore/info,8.1 km,10% OFF
Omega IX Cocktail Bar And Global Kitchen,4.2,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/omega-ix-cocktail-bar-and-global-kitchen-sahakara-nagar-bangalore/info,9.8 km,15% OFF
Wabi Sabi - The Oberoi,4.7,"Asian, Chinese",3000.0,https://www.zomato.com/bangalore/wabi-sabi-the-oberoi-mg-road-bangalore/info,2.6 km,-
Aromas Of Biryani,4.1,"Biryani, North Indian, Seafood, Beverages",700.0,https://www.zomato.com/bangalore/aromas-of-biryani-hsr-bangalore/info,7.8 km,10% OFF
Amintiri,4.3,"Desserts, Bakery, Fast Food, Beverages, Pasta, Italian, Cafe, Finger Food",550.0,https://www.zomato.com/bangalore/amintiri-church-street-bangalore/info,995 m,-
Gulp Cocktails And Kitchen,4.2,"North Indian, Continental, Mughlai, South Indian, Modern Indian, Pasta, Pizza, Chinese",750.0,https://www.zomato.com/bangalore/gulp-cocktails-and-kitchen-banashankari-bangalore/info,7 km,10% OFF
Float Brewery,4.4,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",750.0,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info,7.8 km,10% OFF
Table For Tous,4.9,"Cafe, Bakery, Coffee, Desserts",375.0,https://www.zomato.com/TableForTous/info,7.6 km,10% OFF
Just BLR,4.4,"North Indian, Chinese, Biryani, Beverages",1250.0,https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info,1.4 km,10% OFF
Geometry Gastropub,4.4,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/geometry-gastropub-new-bel-road-bangalore/info,7.9 km,15% OFF
Dhaba - Estd 1986 Delhi,4.3,"North Indian, Mughlai, Desserts, Paan",750.0,https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-marathahalli-bangalore/info,11.6 km,10% OFF
The Rameshwaram Cafe,4.2,"South Indian, Beverages",100.0,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore/info,5.4 km,-
North Star Cafe,4.4,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",400.0,https://www.zomato.com/bangalore/north-star-cafe-hsr-bangalore/info,8.2 km,10% OFF
TOY BOY,4.3,"Bar Food, North Indian, Pizza, Oriental",1000.0,https://www.zomato.com/bangalore/toy-boy-majestic-bangalore/info,3.5 km,10% OFF
Proxy,4.4,"Finger Food, Street Food, Pasta, Bar Food, Desserts",600.0,https://www.zomato.com/bangalore/proxy-mahadevapura-bangalore/info,10.4 km,15% OFF
XOOX Brewmill,4.3,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",1000.0,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/info,4.6 km,10% OFF
Jamming Goat 3.0,4.3,"North Indian, Asian, Desserts",750.0,https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info,7.3 km,10% OFF
Communiti,4.4,"American, Continental, European, Italian, Oriental, Burger, Beverages",900.0,https://www.zomato.com/bangalore/communiti-brigade-road-bangalore/info,1.5 km,-
Sultans Of Spice,4.4,"North Indian, Mughlai, Afghan, Biryani, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block-bangalore/info,4.8 km,-
Jamavar - The Leela Palace,4.3,"North Indian, South Indian",2500.0,https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info,6.1 km,10% OFF
Indigo XP,4.1,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",1000.0,https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block/info,4.8 km,20% OFF
Zest,4.1,"North Indian, Mughlai, Kebab, Chinese, Continental, Desserts",750.0,https://www.zomato.com/bangalore/zest-lavelle-road-bangalore/info,654 m,15% OFF
Tim Hortons,4.2,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",500.0,https://www.zomato.com/bangalore/tim-hortons-koramangala-8th-block-bangalore/info,4.5 km,10% OFF
Fia's Lounge,4.6,"Parsi, Lebanese, Beverages",750.0,https://www.zomato.com/bangalore/fias-lounge-richmond-road-bangalore/info,1.1 km,15% OFF
LOFT38,4.1,"Italian, BBQ, Asian, North Indian, Fast Food, Beverages",1000.0,https://www.zomato.com/LOFT38/info,5.1 km,-
Kampot,4.3,"Vietnamese, Asian, Chinese, Desserts, Beverages, Salad, Korean",900.0,https://www.zomato.com/bangalore/kampot-bellandur-bangalore/info,11.3 km,-
Chowki Multicuisine Restaurant,4.1,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",350.0,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,15.3 km,15% OFF
TYD,4.5,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",950.0,https://www.zomato.com/bangalore/tyd-1-hennur-bangalore/info,10.8 km,10% OFF
Chili's American Grill & Bar,4.3,"Burger, Mexican, American, Italian, Continental, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info,6.2 km,-
1522 - The Pub,4.4,"Bar Food, North Indian, Chinese, Finger Food, Seafood, Mughlai, Salad, BBQ",900.0,https://www.zomato.com/bangalore/1522-the-pub-jp-nagar-bangalore/info,7.5 km,-
Sidewalk Bar & Kitchen,4.3,"North Indian, Continental, Chinese, Fast Food, Beverages",900.0,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,11.6 km,15% OFF
Gannet Bar & Kitchen,New,"Bar Food, North Indian, Mughlai, Seafood, Chinese, Continental, Oriental, Desserts",900.0,https://www.zomato.com/bangalore/gannet-bar-kitchen-2-bommanahalli-bangalore/info,10.9 km,20% OFF
Fox In The Field,4.2,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore/info,14.6 km,10% OFF
Chinese Wok,4.0,"Momos, Chinese",350.0,https://www.zomato.com/bangalore/chinese-wok-electronic-city-bangalore/info,15.2 km,20% OFF
Buff Buffet Buff,4.4,"South Indian, Salad, Bar Food, North Indian, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/buff-buffet-buff-koramangala-5th-block/info,4.8 km,-
Hitchki,4.2,"Bar Food, Continental, North Indian, Asian, Biryani, Desserts",950.0,https://www.zomato.com/bangalore/hitchki-sarjapur-road-bangalore/info,12.2 km,-
Flechazo,4.3,"North Indian, Chinese, Pizza, Continental, Fast Food, Desserts, Shake, Beverages",500.0,https://www.zomato.com/bangalore/flechazo-1-marathahalli-bangalore/info,11.1 km,10% OFF
2 MOONS,4.4,"Modern Indian, Continental, Asian",1050.0,https://www.zomato.com/bangalore/2-moons-mg-road-bangalore/info,2.8 km,10% OFF
Lord Of The Drinks,4.0,"Finger Food, Continental, European, North Indian, Italian, Asian, Sichuan",850.0,https://www.zomato.com/bangalore/lord-of-the-drinks-1-whitefield-bangalore/info,11.4 km,15% OFF
Mithai Mahal Sweets And Restaurant,4.4,"Mithai, Continental, North Indian, Street Food, Momos, Fast Food, Chinese, Beverages",100.0,https://www.zomato.com/bangalore/mithai-mahal-sweets-and-restaurant-bannerghatta-road-bangalore/info,9.8 km,-
Dyu Art Cafe,4.3,"Cafe, Continental, Burger, Sandwich, Pizza, Fast Food, Desserts, Beverages",425.0,https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore/info,4.6 km,-
Daysie - All Day Casual Bar,4.4,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",650.0,https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info,2.6 km,-
Yuki,4.5,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",800.0,https://www.zomato.com/bangalore/yuki-indiranagar-bangalore/info,5.1 km,-
Suku Japanese And Thai Restaurant,4.6,"Japanese, Thai, Sushi, Salad, Desserts, Beverages",400.0,https://www.zomato.com/bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info,9.5 km,-
Tiger Yaki,New,"Korean, Japanese",500.0,https://www.zomato.com/bangalore/tiger-yaki-st-marks-road-bangalore/info,730 m,10% OFF
Hydra Club & Kitchen,4.4,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",600.0,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,4.7 km,15% OFF
You Mee,4.3,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",1100.0,https://www.zomato.com/bangalore/you-mee-whitefield-bangalore/info,14.6 km,10% OFF
Horizon,4.5,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",1500.0,https://www.zomato.com/bangalore/horizon-1-malleshwaram-bangalore/info,6.1 km,15% OFF
Oyster Bar & Kitchen,4.5,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",800.0,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info,8.2 km,10% OFF
Plan B,4.1,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",800.0,https://www.zomato.com/bangalore/plan-b-koramangala-7th-block-bangalore/info,4.6 km,10% OFF
Cocobolo,4.3,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",500.0,https://www.zomato.com/bangalore/cocobolo-new-bel-road-bangalore/info,7.6 km,10% OFF
Little Italy,4.0,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",1150.0,https://www.zomato.com/bangalore/little-italy-indiranagar/info,5.2 km,10% OFF
The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,4.2,"Iranian, Mediterranean, Afghan, Seafood, Desserts",1750.0,https://www.zomato.com/bangalore/the-persian-terrace-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram/info,6.2 km,15% OFF
Dock 66,4.3,"North Indian, South Indian",900.0,https://www.zomato.com/bangalore/dock-66-1-whitefield-bangalore/info,14.1 km,10% OFF
Rim Naam - The Oberoi,4.9,"Thai, Asian, Seafood, Desserts",2500.0,https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore/info,2.6 km,-
Rumi,4.0,"Awadhi, Mughlai, North Indian, Kebab, Desserts",550.0,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,5.3 km,15% OFF
Shift Lounge & Bar,4.2,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai",700.0,https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info,8.2 km,25% OFF
Pizza Brew House,4.2,"Pizza, Pasta, Fast Food, Coffee, Beverages",475.0,https://www.zomato.com/bangalore/pizza-brew-house-new-bel-road-bangalore/info,7 km,15% OFF
Truffles,4.7,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",550.0,https://www.zomato.com/bangalore/truffles-koramangala-5th-block/info,4.8 km,-
Celeb’s Restobar,4.4,Bar Food,650.0,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,15.3 km,15% OFF
Salt - Indian Restaurant Bar & Grill,4.5,"North Indian, Rolls, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-varthur-main-road-whitefield-bangalore/info,15 km,15% OFF
Sashay-Taproom Kitchen,4.7,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info,13.4 km,20% OFF
Public - The Rooftop Bar And Kitchen,4.1,"North Indian, Biryani, Oriental, Pizza, Continental",600.0,https://www.zomato.com/bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info,8.2 km,15% OFF
Ishaara,4.5,"North Indian, Mughlai, Kebab, Biryani",1250.0,https://www.zomato.com/bangalore/ishaara-kr-puram-bangalore/info,11.4 km,10% OFF
Leon's Burgers & Wings,4.2,"Burger, Fast Food, Wraps",200.0,https://www.zomato.com/bangalore/leons-burgers-wings-indiranagar-bangalore/info,5.1 km,-
Watson's,4.1,"North Indian, Continental, Italian, European, Asian, Beverages, Desserts",800.0,https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info,5.1 km,-
Rajdhani,4.0,"Gujarati, North Indian, Rajasthani",600.0,https://www.zomato.com/bangalore/rajdhani-indiranagar-bangalore/info,5.2 km,-
AB's - Absolute Barbecues,4.3,"Biryani, BBQ, Kebab, North Indian, Desserts",800.0,https://www.zomato.com/bangalore/abs-absolute-barbecues-electronic-city-bangalore/info,15.4 km,-
Hangover Brewery,4.0,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",1000.0,https://www.zomato.com/bangalore/hangover-brewery-koramangala-7th-block-bangalore/info,4.6 km,10% OFF
Dobaraa,New,"Continental, North Indian, Salad, Desserts",600.0,https://www.zomato.com/bangalore/dobaraa-hebbal-bangalore/info,11.1 km,10% OFF
Gatsby,4.4,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",1250.0,https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info,9.5 km,10% OFF
Zodiac Bar & Kitchen,4.3,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",900.0,https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info,12.8 km,15% OFF
Prequel,4.4,"North Indian, Continental, Asian, Italian, Pizza, Sushi, Burger, Desserts",650.0,https://www.zomato.com/bangalore/prequel-3-hebbal-bangalore/info,8.9 km,-
Arbor Brewing Company,4.6,"American, Continental, Fast Food, Beverages",900.0,https://www.zomato.com/ArborBrewIndia/info,1.8 km,-
Thelagram,4.4,"North Indian, Street Food, Desserts, Beverages",400.0,https://www.zomato.com/bangalore/thelagram-jp-nagar-bangalore/info,7.3 km,15% OFF
Bamey's Restro Cafe,4.2,"Asian, Nepalese, Momos",475.0,https://www.zomato.com/bameys/info,4.6 km,10% OFF
Barkaas Indo Arabic Restaurant,4.2,"Arabian, North Indian, Biryani, Mandi, Desserts",500.0,https://www.zomato.com/bangalore/barkaas-indo-arabic-restaurant-1-koramangala-5th-block-bangalore/info,4.7 km,10% OFF
Playful Palette,4.4,"Continental, Italian, Pizza, Pasta, Bakery, Desserts, Coffee, Cafe",700.0,https://www.zomato.com/bangalore/playful-palette-indiranagar-bangalore/info,5.1 km,10% OFF
ShakesBierre,4.4,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,1.4 km,10% OFF
Neemsi,New,"North Indian, Italian, Continental, Asian, Chinese, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/neemsi-jp-nagar-bangalore/info,7.4 km,-
Gully Coffee Roasters,New,"Cafe, Coffee, Pasta, Burger, Continental, Pancake",350.0,https://www.zomato.com/bangalore/gully-coffee-roasters-1-koramangala-5th-block-bangalore/info,4.8 km,10% OFF
Shift Lounge & Bar,4.5,"North Indian, Chinese, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/shift-lounge-bar-marathahalli-bangalore/info,11.7 km,20% OFF
Roastea,4.3,"Coffee, Beverages, Italian, European",300.0,https://www.zomato.com/bangalore/roastea-sahakara-nagar-bangalore/info,11.1 km,10% OFF
Nando's- Flame Grilled PERi- PERi Chicken,4.4,"Burger, Healthy Food, Portuguese, Desserts",750.0,https://www.zomato.com/bangalore/nandos-flame-grilled-peri-peri-chicken-whitefield-bangalore/info,11.4 km,-
Sally By 1522,4.3,"South Indian, Chinese, Salad, Continental, Asian, Biryani, Seafood, Pasta",800.0,https://www.zomato.com/bangalore/sally-by-1522-hebbal-bangalore/info,11.1 km,-
Hakuna Matata,4.4,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",850.0,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info,8.7 km,-
Don't Tell Mama,4.1,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",1000.0,https://www.zomato.com/bangalore/dont-tell-mama-1-hsr-bangalore/info,7.6 km,20% OFF
Thyme and Whisk,4.4,"Continental, Asian, North Indian, Biryani, Burger, Mexican, Pasta, Pizza",850.0,https://www.zomato.com/bangalore/thyme-and-whisk-electronic-city-bangalore/info,16 km,-
PizzaExpress,4.4,"Pizza, Italian, Salad, Bakery, Coffee, Beverages, Pasta, Cafe",700.0,https://www.zomato.com/bangalore/pizzaexpress-koramangala-5th-block-bangalore/info,5.1 km,-
La Casa Brewery And Kitchen,4.3,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info,11.6 km,20% OFF
Secret Of Bangalore,4.3,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info,10 km,-
Bira 91 Taproom,4.1,"Continental, Fast Food, Bar Food, North Indian, Italian, Beverages",1250.0,https://www.zomato.com/bangalore/bira-91-taproom-koramangala-4th-block-bangalore/info,6.1 km,-
Geist Brewing Co.,4.4,"Continental, American, Italian, Modern Indian, North Indian, Pasta, Asian, Beverages",750.0,https://www.zomato.com/bangalore/geist-brewing-co-old-madras-road-bangalore/info,20 km,-
The Bangalore Cafe,4.2,"North Indian, Italian, Continental, Biryani, Chinese, Desserts",475.0,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore/info,1.1 km,-
Chianti,4.7,"Italian, Pizza, Pasta, Desserts, Salad",900.0,https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info,9.9 km,-
Kyba- Sushi Dim Sums & More,4.7,"Chinese, Thai, Sushi, Japanese, Asian, Seafood, Desserts",700.0,https://www.zomato.com/bangalore/kyba-sushi-dim-sums-more-sahakara-nagar-bangalore/info,9.8 km,-
Toca Terrace,4.1,"South Indian, North Indian, Continental, Chinese, Seafood, Pasta",550.0,https://www.zomato.com/bangalore/toca-terrace-brigade-road-bangalore/info,1.4 km,-
Windmills,4.8,"Continental, North Indian, Mughlai, Kebab, Desserts",1750.0,https://www.zomato.com/bangalore/windmills-1-whitefield-bangalore/info,13.9 km,-
Paragon Restaurant - Since 1939,4.1,"Kerala, Oriental, South Indian, Chinese, Seafood, Desserts, Beverages, North Indian",500.0,https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/info,966 m,-
KFC,3.8,"Burger, Fast Food, Rolls",200.0,https://www.zomato.com/bangalore/kfc-nagawara/info,9.3 km,-
Stories Bar & Kitchen,4.4,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",700.0,https://www.zomato.com/bangalore/stories-bar-kitchen-rajarajeshwari-nagar-bangalore/info,10.4 km,-
Eight,4.5,"Asian, Chinese, Thai, Japanese, Peruvian",1500.0,https://www.zomato.com/bangalore/eight-hebbal-bangalore/info,11.1 km,-
BANOFFEE,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts",800.0,https://www.zomato.com/bangalore/banoffee-hsr-bangalore/info,7.9 km,10% OFF
LUPA,3.5,"Mediterranean, European, Italian, Salad, Desserts, Beverages",2500.0,https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info,1.2 km,-
Platform.65,3.6,"Andhra, North Indian, Mughlai, Chinese, Biryani, Ice Cream, Desserts, Beverages",650.0,https://www.zomato.com/bangalore/platform-65-bannerghatta-road-bangalore/info,10.2 km,15% OFF
Conçu,4.4,"Cafe, Fast Food",250.0,https://www.zomato.com/bangalore/con%C3%A7u-indiranagar-bangalore/info,4.7 km,-
Lucky Chan - Dimsum & Sushi Parlour,4.4,"Japanese, Chinese, Asian, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore/info,5.3 km,-
Mannheim Craft Brewery,New,"South Indian, North Indian, Continental, Desserts, Asian",750.0,https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,1.7 km,15% OFF
Bob's Bar,4.2,"South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages",700.0,https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info,5.1 km,-
The Big Baadshaah,4.3,"Continental, Chinese, Asian, North Indian, Fast Food, Street Food, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info,11.6 km,10% OFF
Yauatcha,4.4,"Chinese, Asian, Cantonese, Seafood, Tea, Desserts",1500.0,https://www.zomato.com/bangalore/yauatcha-mg-road/info,2.8 km,-
Copper Chimney,4.3,"North Indian, Mughlai, Biryani, Kebab, Beverages",850.0,https://www.zomato.com/bangalore/copper-chimney-mahadevapura-bangalore/info,11.5 km,-
We: Neighborhood,4.4,"European, American, North Indian, Burger, Pizza, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/we-neighborhood-brigade-road-bangalore/info,1.5 km,-
JW Kitchen - JW Marriott Bengaluru,4.2,"North Indian, Continental, Mughlai, Beverages, Desserts, Asian",2500.0,https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info,69 m,25% OFF
Barrys Sky Lounge,4.2,"Chinese, North Indian, Oriental, Mughlai, Biryani",500.0,https://www.zomato.com/bangalore/barrys-sky-lounge-kalyan-nagar-bangalore/info,8.4 km,15% OFF
Smooth Criminal,4.0,"Chinese, North Indian, Pizza, Biryani, Desserts, Beverages, Continental",500.0,https://www.zomato.com/bangalore/smooth-criminal-koramangala-5th-block-bangalore/info,4.8 km,15% OFF
Brother Barley Brewing Company,4.2,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",900.0,https://www.zomato.com/bangalore/brother-barley-brewing-company-hsr-bangalore/info,8.1 km,10% OFF
Bombay Brasserie,4.5,"North Indian, Biryani, Fast Food, Desserts, Tea",1000.0,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/info,5.6 km,-
Hot Griddle,4.1,"South Indian, Chinese, Biryani, North Indian, Asian, Italian, Desserts, Beverages",600.0,https://www.zomato.com/bangalore/hot-griddle-jayanagar-bangalore/info,6.1 km,20% OFF
Rasotsav,4.3,"Rajasthani, Gujarati, North Indian, Mithai",600.0,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info,9.8 km,-
Seta,4.4,"Asian, Mediterranean, Chinese, Desserts",1250.0,https://www.zomato.com/bangalore/seta-domlur-bangalore/info,6.1 km,25% OFF
Full Circle,4.3,"Continental, Asian, North Indian, South Indian, BBQ, Bar Food, Desserts, Cafe",1100.0,https://www.zomato.com/bangalore/full-circle-rajarajeshwari-nagar-bangalore/info,11.3 km,10% OFF
Skyline Rooftop Bar & Kitchen,4.4,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",900.0,https://www.zomato.com/bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info,11 km,20% OFF
Easy Tiger,4.1,"Finger Food, Continental",850.0,https://www.zomato.com/bangalore/easy-tiger-church-street/info,1.4 km,10% OFF
Plan B X Hangover,4.1,"American, Burger, Pizza, Continental, Bar Food, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/plan-b-x-hangover-hsr-bangalore/info,9 km,10% OFF
Bologna,4.9,"Italian, Pasta, Pizza, Desserts",750.0,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore/info,5.1 km,15% OFF
Nevermind - Bar & Social,4.1,"Bar Food, North Indian, Chinese, Continental, Burger",900.0,https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info,5.6 km,15% OFF
Moplah's,4.5,"Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts",850.0,https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,5.1 km,-
The Druid Garden,4.2,"North Indian, Asian, Continental, Italian, Chinese, Fast Food",1000.0,https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar-bangalore/info,10.2 km,-
Mūru Mūru,4.2,"Cafe, Coffee, North Indian, Mexican, Fast Food, Desserts, Beverages",350.0,https://www.zomato.com/bangalore/m-ru-m-ru-1-indiranagar-bangalore/info,4.9 km,-
Khmer Kitchen,4.5,"Chinese, Asian, Thai, Japanese",1250.0,https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info,7.3 km,-
Olive Beach,4.4,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",1750.0,https://www.zomato.com/bangalore/olive-beach-richmond-road-bangalore/info,1.6 km,-
Chulha Chauki Da Dhaba,4.3,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",500.0,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-sarjapur-road-bangalore/info,12 km,-
Gabru Di Chaap,4.1,"North Indian, Momos, Fast Food, Wraps, Beverages",250.0,https://www.zomato.com/bangalore/gabru-di-chaap-kr-puram-bangalore/info,11.5 km,10% OFF
"Torye Drink, Dine & Dance",3.9,Continental,1000.0,https://www.zomato.com/bangalore/torye-drink-dine-dance-rajarajeshwari-nagar-bangalore/info,11.5 km,10% OFF
Suay,3.9,"Cafe, Coffee, Continental, Fast Food, Salad, Chinese, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/suay-jp-nagar-bangalore/info,7.3 km,-
Mirage,4.2,"Asian, Chinese, Thai, Beverages, Desserts",1500.0,https://www.zomato.com/bangalore/mirage-st-marks-road-bangalore/info,957 m,-
The Sauce Code,4.2,"Pasta, Continental, Asian, Italian, Desserts",500.0,https://www.zomato.com/bangalore/the-sauce-code-bellandur-bangalore/info,11.4 km,10% OFF
Sole Fry - Coastal Speciality & Bar,4.5,"Seafood, Mangalorean, North Indian, Asian, Chinese, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/sole-fry-coastal-speciality-bar-2-electronic-city-bangalore/info,16.9 km,10% OFF
